August_1m,August_2m,August_3m,August_4m,December_1m,December_2m,December_3m,December_4m,August_1t,August_2t,August_3t,August_4t,December_1t,December_2t,December_3t,December_4t
8259,9281,7560,9134,12281,12099,11091,12322,11392,13016,10558,12793,13263,12790,12017,13080
3523,2934,2065,3273,2747,2211,2354,3647,7161,6038,4651,6432,3620,3102,3243,4849
757,1137,662,848,1332,1170,1433,1133,3591,4585,3081,3674,2622,2256,2405,2195
530,660,467,646,83,130,102,70,5149,6410,5919,6953,5551,6505,6022,6437
454,550,428,646,832,1474,1160,1062,1840,2402,1793,2184,1875,3233,2595,2458
795,953,623,646,1498,1517,1331,2089,3600,3158,3181,2728,2956,2730,2389,3750
833,696,818,767,1623,1257,1535,1097,1704,1467,1521,1435,2227,1713,2115,1593
1136,1247,1753,1374,3122,4033,4539,4709,2862,2642,3507,2810,4248,4985,5819,5821
2614,2861,2299,2061,6411,8456,7132,7329,5707,6114,5705,5396,9699,11474,10474,10546
454,550,467,687,624,823,750,778,6888,5981,5773,6134,2763,4336,3541,3508
1136,807,779,1172,3788,2818,2866,2018,3678,3321,2823,3092,5637,4598,4707,3347
378,440,311,525,1082,1040,1058,1062,5119,4358,4156,3892,3560,3552,3792,2992
1742,2201,2065,1495,1040,1821,1433,1168,4219,4991,5062,3494,8195,7885,6793,7587
340,440,233,727,1373,1691,1535,1416,1326,1577,1328,2121,2372,2602,2526,2266
1212,1283,1363,1293,541,1040,443,743,12628,14590,16046,17245,20045,25386,21127,24785
757,917,935,687,2581,1994,2627,1982,10379,9454,11003,8588,17801,12468,17519,14473
151,330,311,282,707,780,955,708,5828,6473,7603,6287,5947,4972,5862,5324
3674,4145,4715,3718,2331,3599,3174,4001,29877,38382,36271,32335,7594,8237,7347,9197
151,293,116,161,416,823,750,814,2296,3089,1916,2377,1455,2080,1896,1805
1250,1210,935,889,2497,1474,2218,2195,6907,6022,6362,5488,8136,4593,8008,7269
681,513,506,282,541,563,477,460,2137,1450,1677,1458,666,758,546,690
4925,5209,4910,5416,4995,5421,5938,4567,12042,12030,12244,11774,19592,18070,20267,15696
833,623,1130,1091,791,823,887,672,2596,2711,2472,2791,1061,953,1057,849
